Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type,POS Eligble,"Spread Table
1, 4 = Part A
3 = Part B
5 = Part D"
63253,BP#C MOBRC2211W,Callable Bull/Bear Contracts,,"50,000",,NLBNPHK144J2,29/11/2022,,,,,,,Y,,,,,1
63256,BP#MTUANRC2211N,Callable Bull/Bear Contracts,,"10,000",,NLBNPHK144K0,29/11/2022,,,,,,,Y,,,,,1
63264,UB#HSI  RP2301Z,Callable Bull/Bear Contracts,,"10,000",,CH1206640000,30/01/2023,,,,,,,Y,,,,,1
63265,UB#ALIBARP2303S,Callable Bull/Bear Contracts,,"10,000",,CH1206639903,22/03/2023,,,,,,,Y,,,,,1
63266,UB#CGSH RP2302B,Callable Bull/Bear Contracts,,"5,000",,CH1206639994,23/02/2023,,,,,,,Y,,,,,1
63267,UB#CGSH RP2303B,Callable Bull/Bear Contracts,,"5,000",,CH1206640034,30/03/2023,,,,,,,Y,,,,,1
63292,VT#MTUANRP2210E,Callable Bull/Bear Contracts,,"5,000",,CH1163231975,28/10/2022,,,,,,,Y,,,,,1
63295,BI#HSI  RP2302O,Callable Bull/Bear Contracts,,"10,000",,HK0000870615,27/02/2023,,,,,,,Y,,,,,1
63299,BI#ALIBARP2212P,Callable Bull/Bear Contracts,,"10,000",,HK0000870631,30/12/2022,,,,,,,Y,,,,,1
63300,BI#ALIBARP2212Q,Callable Bull/Bear Contracts,,"10,000",,HK0000870649,30/12/2022,,,,,,,Y,,,,,1
63302,BI#ICBC RC2302A,Callable Bull/Bear Contracts,,"10,000",,HK0000870664,28/02/2023,,,,,,,Y,,,,,1
63303,HS#HSCEIRP2303A,Callable Bull/Bear Contracts,,"10,000",,HK0000870672,30/03/2023,,,,,,,Y,,,,,1
63304,HS#HSTECRP2303A,Callable Bull/Bear Contracts,,"10,000",,HK0000870680,30/03/2023,,,,,,,Y,,,,,1
63308,HS#HSI  RP2211Z,Callable Bull/Bear Contracts,,"10,000",,HK0000870698,29/11/2022,,,,,,,Y,,,,,1
63309,HS#HSI  RP2211P,Callable Bull/Bear Contracts,,"10,000",,HK0000870706,29/11/2022,,,,,,,Y,,,,,1
63316,HS#ALIBARP2303B,Callable Bull/Bear Contracts,,"10,000",,HK0000870730,31/03/2023,,,,,,,Y,,,,,1
63318,HS#HKEX RP2305B,Callable Bull/Bear Contracts,,"50,000",,HK0000870748,31/05/2023,,,,,,,Y,,,,,1
63320,GJ#HSI  RP2303A,Callable Bull/Bear Contracts,,"10,000",,HK0000870755,30/03/2023,,,,,,,Y,,,,,1
63322,GJ#HSI  RP2212B,Callable Bull/Bear Contracts,,"10,000",,HK0000870763,29/12/2022,,,,,,,Y,,,,,1
63324,GJ#HSI  RP2301B,Callable Bull/Bear Contracts,,"10,000",,HK0000870771,30/01/2023,,,,,,,Y,,,,,1
63328,VT#CGSH RC2410A,Callable Bull/Bear Contracts,,"10,000",,CH1197374577,18/10/2024,,,,,,,Y,,,,,1
63329,GS#ICBC RP2212A,Callable Bull/Bear Contracts,,"10,000",,,29/12/2022,,,,,,,Y,,,,,1
63332,VT#C OVSRC2310A,Callable Bull/Bear Contracts,,"5,000",,CH1197374643,27/10/2023,,,,,,,Y,,,,,1
63333,VT#HSI  RP2211Q,Callable Bull/Bear Contracts,,"10,000",,CH1197375079,29/11/2022,,,,,,,Y,,,,,1
63337,VT#HSI  RP2211R,Callable Bull/Bear Contracts,,"10,000",,CH1197375053,29/11/2022,,,,,,,Y,,,,,1
63340,VT#TENCTRP2304A,Callable Bull/Bear Contracts,,"5,000",,CH1197375061,14/04/2023,,,,,,,Y,,,,,1
63342,VT#ALIBARP2303A,Callable Bull/Bear Contracts,,"10,000",,CH1197375046,17/03/2023,,,,,,,Y,,,,,1
63344,VT#BOCL RC2308A,Callable Bull/Bear Contracts,,"5,000",,CH1197375103,11/08/2023,,,,,,,Y,,,,,1
63345,VT#C OVSRP2308A,Callable Bull/Bear Contracts,,"2,500",,CH1197375111,11/08/2023,,,,,,,Y,,,,,1
63346,VT#TTI  RC2312A,Callable Bull/Bear Contracts,,"5,000",,CH1197374593,28/12/2023,,,,,,,Y,,,,,1
63348,BI#XIAMIRP2302H,Callable Bull/Bear Contracts,,"2,000",,HK0000870789,28/02/2023,,,,,,,Y,,,,,1
63358,CS#C OVSRC2309B,Callable Bull/Bear Contracts,,"2,500",,CH1195357236,28/09/2023,,,,,,,Y,,,,,1
63359,CS#C OVSRC2312A,Callable Bull/Bear Contracts,,"5,000",,CH1195357244,28/12/2023,,,,,,,Y,,,,,1
63361,CS#BOCL RC2312A,Callable Bull/Bear Contracts,,"10,000",,CH1195357251,28/12/2023,,,,,,,Y,,,,,1
63362,UB#TENCTRP2212K,Callable Bull/Bear Contracts,,"5,000",,CH1162837350,02/12/2022,,,,,,,Y,,,,,1
63364,CS#BOCL RC2312B,Callable Bull/Bear Contracts,,"10,000",,CH1195357269,29/12/2023,,,,,,,Y,,,,,1
63369,UB#MTUANRP2211I,Callable Bull/Bear Contracts,,"5,000",,CH1162834167,30/11/2022,,,,,,,Y,,,,,1
63375,UB#XIAMIRP2212A,Callable Bull/Bear Contracts,,"10,000",,CH1162834183,20/12/2022,,,,,,,Y,,,,,1
63386,CS#PINANRP2304A,Callable Bull/Bear Contracts,,"5,000",,CH1195357319,27/04/2023,,,,,,,Y,,,,,1
63387,CS#ALIBARP2305A,Callable Bull/Bear Contracts,,"10,000",,CH1195357327,30/05/2023,,,,,,,Y,,,,,1
63393,BP#MTUANRC2211R,Callable Bull/Bear Contracts,,"10,000",,NLBNPHK144Z8,29/11/2022,,,,,,,Y,,,,,1
63394,CS#HSI  RP2212U,Callable Bull/Bear Contracts,,"10,000",,CH1195357350,29/12/2022,,,,,,,Y,,,,,1
63397,CS#HSI  RP2212V,Callable Bull/Bear Contracts,,"10,000",,CH1195357368,29/12/2022,,,,,,,Y,,,,,1
63407,CS#HSI  RP2212W,Callable Bull/Bear Contracts,,"10,000",,CH1195357376,29/12/2022,,,,,,,Y,,,,,1
63408,CS#HSI  RP2302A,Callable Bull/Bear Contracts,,"10,000",,CH1195357384,27/02/2023,,,,,,,Y,,,,,1
63443,BP#HSI  RP2212N,Callable Bull/Bear Contracts,,"10,000",,NLBNPHK15285,29/12/2022,,,,,,,Y,,,,,1
63444,HS#CSHCLRC2212B,Callable Bull/Bear Contracts,,"25,000",,HK0000793288,23/12/2022,,,,,,,Y,,,,,1
63445,HS#MTUANRC2302E,Callable Bull/Bear Contracts,,"5,000",,HK0000841152,28/02/2023,,,,,,,Y,,,,,1
63447,BP#HSI  RP2212O,Callable Bull/Bear Contracts,,"10,000",,NLBNPHK15293,29/12/2022,,,,,,,Y,,,,,1
63448,BP#HSI  RP2212P,Callable Bull/Bear Contracts,,"10,000",,NLBNPHK152A4,29/12/2022,,,,,,,Y,,,,,1
63453,HS#MTUANRC2302F,Callable Bull/Bear Contracts,,"5,000",,HK0000841160,28/02/2023,,,,,,,Y,,,,,1
63454,BP#HSI  RP2212Q,Callable Bull/Bear Contracts,,"10,000",,NLBNPHK152C0,29/12/2022,,,,,,,Y,,,,,1
63455,BP#HSI  RP2212R,Callable Bull/Bear Contracts,,"10,000",,NLBNPHK152D8,29/12/2022,,,,,,,Y,,,,,1
63456,BP#HSI  RP2212S,Callable Bull/Bear Contracts,,"10,000",,NLBNPHK152E6,29/12/2022,,,,,,,Y,,,,,1
63459,BP#HSI  RP2212T,Callable Bull/Bear Contracts,,"10,000",,NLBNPHK152F3,29/12/2022,,,,,,,Y,,,,,1
63462,CS#MTUANRC2304E,Callable Bull/Bear Contracts,,"5,000",,CH1173494985,27/04/2023,,,,,,,Y,,,,,1
63463,HS#BYD  RC2302B,Callable Bull/Bear Contracts,,"25,000",,HK0000841186,24/02/2023,,,,,,,Y,,,,,1
63477,UB#TTI  RC2311C,Callable Bull/Bear Contracts,,"5,000",,CH1192494404,24/11/2023,,,,,,,Y,,,,,1
63478,UB#TTI  RC2312B,Callable Bull/Bear Contracts,,"5,000",,CH1192494453,28/12/2023,,,,,,,Y,,,,,1
63481,UB#C OVSRC2312A,Callable Bull/Bear Contracts,,"5,000",,CH1192494537,22/12/2023,,,,,,,Y,,,,,1
63482,UB#C OVSRC2402A,Callable Bull/Bear Contracts,,"5,000",,CH1192500887,16/02/2024,,,,,,,Y,,,,,1
63485,UB#BOCL RC2311A,Callable Bull/Bear Contracts,,"10,000",,CH1192494255,30/11/2023,,,,,,,Y,,,,,1
63486,UB#BOCL RC2312A,Callable Bull/Bear Contracts,,"10,000",,CH1192494297,29/12/2023,,,,,,,Y,,,,,1
63503,UB#WUXI RP2303B,Callable Bull/Bear Contracts,,"5,000",,CH1192494503,20/03/2023,,,,,,,Y,,,,,1
63504,UB#HSTECRP2301B,Callable Bull/Bear Contracts,,"10,000",,CH1192500903,30/01/2023,,,,,,,Y,,,,,1
63509,UB#C OVSRP2308A,Callable Bull/Bear Contracts,,"5,000",,CH1192500929,10/08/2023,,,,,,,Y,,,,,1
63510,UB#BOCL RP2306A,Callable Bull/Bear Contracts,,"10,000",,CH1192494347,26/06/2023,,,,,,,Y,,,,,1
63511,UB#TTI  RP2310A,Callable Bull/Bear Contracts,,"5,000",,CH1192494495,31/10/2023,,,,,,,Y,,,,,1
63518,UB#KUASORP2303D,Callable Bull/Bear Contracts,,"10,000",,CH1192494396,22/03/2023,,,,,,,Y,,,,,1
63519,UB#CGSH RP2305A,Callable Bull/Bear Contracts,,"10,000",,CH1192494370,30/05/2023,,,,,,,Y,,,,,1
63524,UB#HSI  RP2212W,Callable Bull/Bear Contracts,,"10,000",,CH1192494487,29/12/2022,,,,,,,Y,,,,,1
63525,UB#HSI  RP2212J,Callable Bull/Bear Contracts,,"10,000",,CH1192494529,29/12/2022,,,,,,,Y,,,,,1
